word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
тэ,30865.14481050549,-6755.225852341965,-1381.7610870164208,-383.51232998398336,3703.8982605855945,1173.4188150912837,-2654.861897511687,-3936.0612795915686,-713.84239520507,-521.6491197285231,242.24388968680736,-97.63774630871991,-179.95525174544426,-65.626729675592,7.5534628716688434,28.376255746046347,258.8771015207895,-135.2918564232019,-41.47296380834033,495.8459285915638,21.41767522632879,-36.70173326212328,201.00628202444022,-88.61754756484012,-49.993141037267904,150.96315720903573,26.106324332420026,13.246771418288118,-25.304680653376835,47.63855310818827,-32.98034543952997,-89.52518887257837,-35.94296640575571,111.47997493927542,-52.38199053637508,-29.283961892145758,-65.99382362492594,-0.26093607831586724,-32.83378767944638,-28.748962962447663,-53.93819296610363,-88.15605372069143,-17.610820763937962,15.711533537342438,-19.759897257684525,-50.281295945936996,21.328459209826114,37.52779770073524,-46.33770547686741,50.877623831170986,-16.44086597681886,14.589399771313513,-16.73107654668269,-154.989136991802,-10.73313209754858,12.143298764531519,-17.3416986991457,-0.7063103546835152,-5.633885807703629,-23.238408818735977,-18.696413125251613,14.720402014084616,5.064912101346541,4.636350930460235,-0.02062285500349302,15.530817732702621,-0.9883439179012257,9.5862627682085,0.5250690531590878,43.45417667354899,-1.4745149185279594,-18.356300348992487,-11.969563988209398,-25.54886026654288,-18.41823045147197,11.461799195169414,-2.7908639898627152,-7.789749721653114,-10.85496600147085,-1.4660878252002005,-0.3621116607083904,4.452057323586986,-1.4991175032464075,1.4873868269717083,11.49151993959164,7.994312118436278,-0.038137112263039646,-3.0705943667256235,6.021533981823026,10.359640295258439,1.084379106684184,-2.6757063596772506,5.296630331171782,3.054792836751709,7.921312135484562,2.73514246163694,1.3172195148838257,1.739636274183476,-0.503105782656154,-2.704050353452595
на,23535.803959719866,-3874.6662322766965,-1219.0174103399627,-147.6967368006282,393.374228378824,-1700.2961291745462,557.8656697466652,1303.8823522400253,1297.5910715263249,1215.9515374235389,-1101.1341167361506,1453.6685141222256,54.82029652037354,1406.4611180557488,-448.12091749087716,-401.7518207791221,-188.84986266771713,140.46500538720252,452.7938818551598,-559.2353626671608,-48.93621679279746,515.2906468701395,569.11864272211,-68.76155061968441,-228.99632723135164,-325.40902142987056,301.33585242742095,43.76489227351478,22.77652173345603,-92.85220501953137,282.5843313673211,-767.7002988730761,56.19300797056059,-60.55401621670339,-173.68800052402392,-31.31023896954304,113.74696524226867,83.87973001209564,-57.657603980506224,-84.62006461957169,-22.707070340209686,-26.929707980775664,73.75647963630348,-2.8588914890033372,31.633526540057783,-24.21775991611194,78.23161320198577,29.64154074886434,31.659879848076216,-27.56822478259686,-49.220277043803904,35.537553275769305,-18.506723490672666,123.6242292348031,-16.91454290719125,-36.84717667366556,-16.574428115746397,-36.45832280776108,35.03063034687322,13.019024393296215,21.05610536924765,40.201893082860074,-10.901234637561974,-30.092888006988254,22.008496667017365,-37.97057034847995,-15.197471411581878,12.082178098227217,-3.757797098897117,-9.349943615233412,18.231639747452853,-19.63746188299306,-26.522318152433048,9.406856768474787,6.154531907979726,25.761495215607397,5.618487789208409,-29.955904052486144,10.069859262750262,15.137947752522594,-12.892348051048593,23.87623351520259,7.522633765118616,-14.364162036164107,3.6556966476238184,9.61385356674793,28.471392790952276,-2.4230136968281073,-30.986584058984132,7.05930048963622,-3.5150582975425673,5.187875803349963,-3.3566965559832846,-3.5310240999465683,-14.571880458640825,-20.2339351598796,-1.6808446047541885,4.215593591914976,4.265334476584102,-4.293586807269356
со,16396.860500470877,-1476.9512724242445,-670.6550635816265,333.72584130194366,-2424.3796749419594,-1756.5756414751538,416.8330387380619,1102.890397593556,-3633.4048261232188,-53.07474075722196,-883.2607441690914,542.1764230946092,-1152.143277528908,-581.0369489618911,134.303143730718,-625.9540408120596,308.88383550319713,124.28981066590997,-608.6219229182205,111.89000949309589,-472.21830039424736,-16.837187431642977,-696.8545081416331,268.8415944167193,179.72708441385888,89.1316631607018,-206.91670507830617,295.22295693505015,345.5748074423142,-116.55926896895072,139.15087067824982,-222.74305103372814,-68.49474621838056,46.0578249336696,51.586478203904534,106.67953004017924,16.5024307368154,-55.485460227239514,178.77684387608187,84.4207773296536,101.94963889357861,0.14641257848675604,21.72912390058568,-23.40147761744678,-122.65016288398881,-24.856420127001098,62.90967654115311,12.539335757734243,-33.44773331168894,14.496005323593291,1.6288378092005447,11.383942436953102,-51.744534917543064,-75.67330278054877,-7.686591750149366,29.05133063867388,-0.07482116289529617,29.258103169420174,-33.39577329501083,-54.967259031796246,-3.929832347040806,5.949197531967317,-9.886262639048393,-9.963716530594612,2.6483094945169694,14.716975846281931,3.579894058071061,-3.709424549355327,9.25697479845729,13.586017011246607,3.062248893036237,-36.59915114708091,-5.44395706290096,2.151069483049929,10.972264899837215,6.594957900913853,3.8552608751213775,26.531144101043967,10.777706269431498,-35.3732346560758,-12.878195841869248,-13.529939069908975,9.243568796005533,3.022119881825692,9.60598110560259,-3.2551449637249688,11.439848083206849,-4.463502893797992,5.698499751718514,-18.754595806434033,12.703382713844793,-8.342698582802992,-2.226809358952164,4.346226601374929,6.938551065065815,9.204359188236706,-2.822164373823303,5.322572887769841,3.564550955709749,0.6036750016773885
дрэ,11943.097714525675,-2861.2359505501568,3835.9512205143415,-117.71865900116856,-1840.0832352853301,1382.6883222368458,587.032518787824,362.1354822528165,335.2860911364451,-110.98613020050773,110.78759964968854,237.72065296975893,469.10286305521987,-104.62550312495995,-289.73613173672265,212.71536845202374,-78.6287573400934,-14.004511336863372,145.5106178793394,281.3092477134508,-127.84616571570392,-728.5450994011564,-22.31313741970478,-750.5582068113698,-113.02092171233686,-184.1185393115657,-157.6997900234271,255.81961364473995,138.15392850953833,-338.9182488511942,-756.1544005528011,-190.4065595432288,-268.071428275866,-17.67496779847118,298.50779873456264,341.76183415556045,618.5295762087989,-320.2486237808335,56.938442502913986,-78.9121294771346,-7.00449803308454,69.85439012436044,86.38344499708055,-10.903722462386721,105.69864729964128,-70.39376129791263,-42.75911436266536,291.84344293191344,-79.14046323657126,-60.721549896929695,-64.03310375705489,39.38320814985349,80.01712206531035,-82.3707347432497,-38.41710043728236,-49.58597317951579,4.963540818822266,51.23574777047672,-87.99726261430251,49.363082587731505,-124.27446037973924,17.746213858429687,96.65075427886124,15.457629676687091,16.715095491700644,-88.66658411911875,47.59634422809982,11.584640865251066,9.287934964811585,-10.993206946093565,31.203815418524076,3.8818533191302547,20.679312145683152,-9.895629641809371,-8.759584748385324,2.768872731038879,-83.09017911005401,18.4513427560826,-18.019272362919136,14.009724827977397,-36.37623612896525,1.8488370720336202,-10.549228537710203,-39.35469798198868,-16.550724067082022,3.1812770014978695,-75.14391637373083,23.520854387305427,8.867858933231616,31.228851281949375,93.47811896102095,-25.799771797993657,7.856118136498929,46.432039069887324,-2.0009604750238896,-23.142349108198818,1.5907367111222612,-12.27937990243286,-11.17392537153317,71.41501214700303
пэ,14269.738106863324,7854.02003504286,1421.8096583294002,-564.9913157567719,1386.8575136022664,150.75146481707856,2690.4030142679903,-1255.6042769446074,62.95512672037057,193.0428657754426,1104.6417086428246,434.2082275371691,434.02137230388433,829.6352409341597,-425.89434348502186,-979.5715655069564,-45.18228637392817,-105.88066347960189,-638.0443061390738,709.2278016965726,-769.925353033663,-270.9605764809954,-495.2960641849563,147.64771439450823,-628.2268322577821,198.59923068322988,-282.7328593418154,-278.52411746482676,-159.69743378916098,87.28552716580518,-229.85789781856133,85.23322640185049,188.86518261206672,-11.413900138091835,-202.83822628834963,115.78911409611784,-29.441931614718502,443.796450925868,-53.02286658567257,8.711424710402866,56.130261638727326,-20.68040679587911,91.11887445795352,-106.91538185410649,-115.92569337272377,-70.20661577497356,134.83273988101902,40.02162583057802,7.905615089747809,-30.119851315186157,14.097629044495676,-5.322504037479665,13.371844227250474,54.225812238946205,-21.28552867273774,5.451295696141211,-32.82551966670296,-0.049843633137892515,-15.328352859156572,-33.74586901485309,106.8210876435876,-22.56611977755086,-59.76817037009639,-43.773014787854834,-15.526251465103874,-2.7792182985906044,34.808511416108786,25.352705178612652,-11.465014099993446,-13.172823744036174,68.83220625991689,-58.245360900376795,-8.564959020727644,-0.45752597657244487,6.675410917358775,5.98720463586437,-11.79510945112127,34.762887451104156,31.001065091479596,8.750229588949052,-10.213781247853309,27.016595102668497,1.7023750274300617,0.7807765305178612,11.069473898207542,-6.993420343367458,1.0479452275849805,-12.719286947630328,17.768067331323742,-6.417960070977259,-22.864684106395643,-19.456219382713346,5.081874051824601,-2.530679236168114,8.163399553627855,-6.493729993535441,-0.12407160874352594,-33.8801689864374,11.696572632214197,-8.138171636578203
скир,12913.243393712259,9261.610147375159,2251.012856568398,-716.1886067702401,1407.8811829053973,379.5560134001002,-4031.3301843662102,2355.2016354684984,-19.57722476956374,-725.1302509005668,426.6601611674475,-273.95954196885657,-649.8220962786786,562.5985059988078,137.3218279410372,-477.1125455185897,-25.978025364687728,71.59041640253801,-283.9248505942337,-227.13634203237115,-36.253804932363636,108.88528831775871,190.49567152283944,-156.90877160344633,530.0569122254748,-345.0665875510287,-7.890758055377756,54.630966373366256,124.07520092616797,126.4845442468895,-132.89887472347343,-189.94889782861634,-233.66370774667058,136.2981075385609,19.59130091783531,-141.04671131216858,-25.068926186687925,-88.00791433632654,-52.939895274139275,-8.379024456467638,-161.179552879146,93.68476150650712,108.10736176701997,83.07710819218093,98.09049244215947,81.13950169777824,43.808900548023175,-55.80401191752722,-81.94911850630596,-3.0006614836406285,-38.48874989623417,1.4937156502563402,-47.29438177369308,6.034063188198234,106.63807722428992,22.715943080818114,-124.22531142715935,46.157580709230075,-42.93703261083901,22.94012268315834,57.71055952791013,-11.006191815044346,17.773379772453257,-42.42324227599013,61.40382807042355,-46.0104078387368,52.075688562803215,15.950045506041379,-44.31131930570863,5.017735468032526,48.88123326894475,42.01646862938371,13.251634013979462,-13.11406452171065,-33.64549958562388,-25.603615615834286,-18.716981950622685,-30.443013700200652,44.30076233415367,-17.407503718598882,-3.117114622129405,-5.671321162819916,-4.239085462923755,41.345712281444314,39.296784706884075,-5.349021380931353,-8.313243953468794,0.5906323996375717,21.52202007622759,-11.054715285859285,14.677614896367748,-48.20530364707722,-6.633518728544137,-4.565704075947645,23.178011933667772,-29.81368304655222,2.900569128320926,-13.011732899481512,-11.156088866346652,-18.3421563884614
дро,8801.72920782368,-472.2297381546592,1845.531523687799,33.13220835743203,-759.961369709482,418.6577524279365,528.6601938606827,243.47800513594467,208.99707780431194,128.578290228985,837.9634699391917,313.1659845036728,232.189950983043,-386.8420885346878,-249.06780656655465,530.0738840184781,-72.39024729957394,-24.11568866837491,-544.8484352267187,219.30262026621065,672.4554609557041,1383.719724362093,70.95919826774309,418.9106506617603,-26.211967656675498,241.17662206014168,-141.43153459504578,448.51752573951137,234.61971520193305,806.6292460491776,-611.9674699348118,-128.36279560855056,70.36245996376299,-116.5208574805693,266.9661021792911,118.87884377563577,-74.51351379535495,-343.3502445673174,-167.58017852599465,-162.71519448378515,25.727755053360337,-4.744419526755747,15.210661100117461,-64.34304248408216,-103.37849370896362,-17.04205428009242,9.325498853971974,-1.4890563630533709,-16.769824346198245,8.709024308392479,-170.97690779195915,123.13458447304274,25.88440872801281,98.91603863347774,-145.2892390754333,-22.96856818869627,-27.575674518245737,25.868825330341853,-70.76445110860895,-162.70709964085015,131.4937087368324,-56.63280468609008,-179.34553732370082,-2.7613538436337213,-12.807531942020065,-62.04921763862756,-33.86480023881374,-48.57458382614681,62.416647714217504,35.49769843355634,-145.79985920335932,8.610401373645027,55.06564344544886,-29.175807584066007,11.65136351116279,58.00431550247931,35.987068023952425,-40.21842179837584,-13.754381869564856,-22.01754890483534,-68.5645808157567,-16.323647947324563,3.8116795394354224,14.256423191334557,2.4487975144931533,18.349402066901476,22.760330266299324,38.53840140199952,-24.577372041896574,-28.818573804670457,-51.70861776842632,30.09642424255031,9.992908273750686,-23.855277461332037,-20.28127379889186,8.178971998827016,-49.34505571791601,22.523746207877902,27.543639698829235,-32.72515552510292
сав,9927.358060207194,973.6674679545173,1609.8648218317187,-183.28964248358824,-1207.427008096081,530.1226852187252,-72.51754760563294,217.0122032587145,-1684.6215434799537,453.47068681619345,-306.3144990317671,-641.1454390022566,1618.3915883249817,-269.51406784256267,508.5210820510767,-47.07039190133196,-125.32693352380558,26.142056951098716,277.7859775272002,-927.0500692397139,-24.551128174743393,218.8199519427758,487.67470157710255,-51.968248408410204,-555.1597559927388,-316.65169543664706,441.7832812914181,-437.93478023044014,165.6073263434156,-171.4055303740983,-420.6563823233282,326.9066158824997,145.35864341313504,-62.87869638769962,-131.8174849001866,-133.22331671917235,-127.85310722889152,341.99446300041296,-196.05201523888215,-204.46983266405726,-310.5604036436809,-214.27567639202883,-75.87504885975768,125.6116988346174,-87.41158551142875,64.02011824998647,84.50756636318164,-101.94815883011599,-55.496980519233915,-37.297321065119945,123.9092571247115,22.3079622908231,-100.307280521155,-76.66136232462922,60.11942777689098,-71.01129434970964,-23.894709142877606,-75.29124861454022,24.265464794082995,25.941619902492764,-16.25814864484187,127.48941888575932,-0.9442593186854786,-3.9161510566728626,146.94596378018153,55.648777404934066,-22.495177999324273,-33.514452508708175,16.447679244741938,62.64497247868138,-63.31371702059646,-41.6002714654335,-51.135043864399925,-72.47025876618055,-23.818253585922612,28.589068309418497,118.50287953410918,13.267609511390107,-51.41077289197311,9.995915153244447,-48.03679826401822,-76.45671191395967,24.353003043747304,-16.991857629909507,40.97727214457748,13.029347325722759,1.8484460791916013,49.959930251389,-13.62132961384698,-24.47790658205818,18.78070755353491,62.381441616068635,-5.74156298682489,17.698559056413153,-39.93683677587179,49.27898120388552,-17.433103780705792,8.22646396499857,9.619595316224263,0.8867409697184448
лэ,12362.240772838593,7044.645886988692,941.982051151423,-720.270437883579,919.0562409225746,-197.13233707185182,3209.9400671599647,-2031.5069862791306,-240.47191901606422,-943.5838889895151,-1472.0121466595365,-325.4025826133449,-915.4051170014324,8.24320743037455,408.2429977680588,565.791470751978,24.939076997960935,177.15409194266272,648.7187150419563,-609.7015674166081,350.924733583222,-351.144154368234,457.4929415531218,-148.81002373840656,454.73347307294944,358.74775064938274,275.986899791229,406.8572481973383,-98.89466719044898,110.45321982358884,214.33591609044893,-81.47963141006075,169.4422844223539,-247.69123639546933,151.73913265706435,21.080120822010972,40.960338698513546,-411.33669548056446,-109.24288199493344,-36.90337901589152,-50.85915507736644,16.060961551776934,-25.780133088751388,220.19212319113808,38.609961130345795,63.94350613518781,-86.20809259272387,-95.8745143483514,-1.7846132366700045,10.695751312412217,-16.480112705120657,9.15469416061131,-53.29360751834506,13.899270832856224,75.99526187086059,-30.8543352757238,-104.8787176931345,73.62353120312001,-44.38587677883457,14.86758422092212,-15.172937647536445,-23.1114837057834,-14.448662021847948,-9.117246800036847,32.351974562807,-20.59472360360833,-9.029148567619064,18.196398420812372,3.8439338628361384,-13.296155771856384,-14.554421672929506,1.5105169633250966,-9.753982133055974,-62.384305972236106,-3.073399906354274,-45.86629404983692,35.190536701663916,-22.398486220238883,-23.08754426725491,14.659621153105192,1.2885460406016827,-12.49255471095468,-1.1721037969568247,23.250091326591626,28.411602963650527,7.123868691109464,-8.43117946338959,17.225704940486608,21.264789123234088,-3.4114620440946357,-16.47776719267873,8.317684993011941,-17.234770949783755,17.470015507838845,14.565820044647618,-5.707592833128269,2.424460339683723,-2.3098182629216466,-12.005404309861689,-8.139283405624168
мэ,10198.678050655359,-820.3295496373572,-1870.730249498933,498.835382731667,-1908.4534574605905,-2380.655698792608,-134.57353376070276,-85.88480115035945,951.7849021773294,-1939.9962852635733,959.5438795496358,-1217.8304358622113,594.5351856370723,937.7026337896266,515.4093906236084,362.17522718200996,77.35896201947823,-55.71436936087591,-395.0154444271396,-42.28278028546201,494.9017398183111,-349.10764970919655,-1252.6139796105103,-157.05950794677753,-136.29759551169334,67.8453411790287,1032.6293124444262,204.66913708809972,174.13967695594442,-142.2988231393395,-155.7052470955254,-271.9172991007893,78.67497537637863,14.398122287223442,-43.8664221957324,49.60421060189396,-93.60905493148887,-14.187590282224427,-13.329587869888632,23.203255629514835,4.090600953924641,-49.66049327525463,-23.057481937430346,-25.062194006100633,-4.607527950308891,3.2316940506200713,-32.20108951575224,-35.4430353940575,11.009612455281424,-70.62506612364997,-29.877487898102455,0.6110298786286169,-36.37834159854411,-15.902245023853549,-28.31019887234531,8.479195153243644,38.2959031674356,-30.133794496013202,-21.848653012288217,-31.164114690345365,-4.87905919447627,-4.567238458713671,-30.921967477480777,-8.757976448184097,57.6907016903818,-3.668157014326292,-4.391401771189433,18.483020961711432,30.948729007622948,-35.28959221990048,-31.1467869753061,1.1116009308634716,-31.40933783807375,17.292720331259765,-0.8221117528978191,-1.1078033231471482,11.72085160748423,-0.17161873559557414,-6.985902637842293,-16.846803434347883,-40.81656101758212,-4.049532813719245,3.8138657748577476,30.934438482847366,6.24299255295604,15.403272531922692,-12.827255481543755,-14.915993256070061,-7.652435205953449,2.6581801944377887,-14.567823858490403,-38.78725197214605,18.38803586256722,11.805204317615937,-0.689948261182025,-10.005558331936449,4.292835854399347,-20.603927976981133,-4.663274482939432,-4.911440864214543
